,ticker,dividendo,yeld,soma_yield_12m,rentabilidade,setor,valor,liquidezmediadiaria,pvp,p_vpa,ativos,numero_cotista
56,BPRP11,0.925,0.0,0.0,0.0,Imóveis Industriais e Logísticos,107.5,2150.0,0.8561,,15,171
57,BRCO11,0.87,0.73,9.79,3.7131,Imóveis Industriais e Logísticos,114.63,5413590.09,0.9839,0.9829360315554793,12,131924
58,BRCR11,0.41,0.84,12.13,14.192,Lajes Corporativas,47.29,1054615.3,0.551,0.5509728533146918,6,117505
59,BREV11,0.58,0.55,0.0,22.0818,Lajes Corporativas,105.0,532138.0,1.6455,,1,8102
60,BRFT11,1.09,1.21,19.24,15.253,Misto,90.0,46048.52,0.0,,0,0
61,BRIM11,52.37,21.58,195.37,133.3862,Fundo de Desenvolvimento,284.99,15085.09,8.4996,,2,711
62,BRIP11,27.85,6.19,59.62,0.0,Fundo de Desenvolvimento,443.89,6483.69,0.8423,,10,411
63,BRIX11,180.1409,0.0,0.0,0.0,Indefinido,1673.35,195781.0,1.4852,,10,103
64,BRLA11,1.15,0.78,4.64,5.0598,Imóveis Industriais e Logísticos,148.0,21194.28,0.841,0.8891024870839841,8,435
65,BROF11,0.56,0.91,12.61,17.4926,Lajes Corporativas,61.79,402077.17,0.561,,1,10671
66,BRZP11,0.92,0.51,7.09,24.5056,,180.0,1309621.61,0.0,,0,0
67,BTAG11,1.3,1.19,16.82,10.7231,Indefinido,116.0,63353.78,1.0584,1.0583941605839418,0,2883
68,BTAL11,1.0,1.1,14.39,18.6862,Imóveis Industriais e Logísticos,89.4,614295.22,0.771,0.7709555018972061,9,38037
69,BTCI11,0.093,1.0,13.34,5.8132,Papéis,9.23,1733025.13,0.9121,,14,206197
70,BTCR11,0.9,0.98,0.0,14.5378,Papéis,88.0,571148.0,1.3791,0.9236905636611735,14,8102
71,BTHF11,0.101,1.05,13.91,21.5877,Papéis,9.42,2638088.61,0.9336,,0,320236
72,BTHI11,0.31,0.7,11.34,-4.5851,Hotéis,44.0,22889.52,0.6771,,14,1741
73,BTHR11,0.19,0.0,0.0,0.0,Hotéis,0.0,,0.0,,13,24
74,BTLG11,0.8,0.77,9.62,5.576,Imóveis Industriais e Logísticos,104.01,9124289.65,1.0129,1.0128542214431786,31,462182
75,BTML11,0.97,0.0,0.86,0.0,Lajes Corporativas,101.37,,0.7957,,2,1
76,BTRA11,0.8,1.23,9.56,8.4655,Fazendas,67.0,153439.35,0.5242,0.5989629894510996,5,11922
77,BTSG11,1.0,0.0,3.17,0.0,Imóveis Industriais e Logísticos,145.92,146.0,0.935,0.9349650797718971,1,108
78,BTSI11,0.83,0.0,2.22,0.0,Misto,107.17,107.33,0.8667,,6,219
79,BTWR11,0.65,0.0,0.57,0.0,Fundo de Desenvolvimento,92.99,139.5,0.7843,0.7843286099865047,1,141
80,BTYU11,0.0949,1.1,14.15,-2.7449,Incorporações,7.54,13783.78,0.7451,,14,608
81,BZEL11,5.0924,0.0,0.0,0.0,Misto,0.0,,0.0,,14,3
82,CACR11,1.2,1.41,19.54,16.327,Papéis,80.19,1291237.26,0.8438,0.8437499999999999,14,26137
83,CAFE11,1.0082,0.0,0.0,0.0,Misto,0.0,,0.0,,0,0
84,CARE11,0.0084,0.23,0.0,36.0456,Misto,4.59,6963.74,0.1327,2.861417617355526,14,6943
85,CBOP11,0.16,0.42,5.94,8.617,Lajes Corporativas,39.94,5376.09,0.5531,0.5531089876748373,1,2057
86,CCME11,0.084,0.92,11.84,6.4457,Indefinido,9.05,321309.7,0.8538,,1,9284
